"Site","Room","Teacher","Description","Bios","Model","PCName","SerialNumber"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-0LGJC7A","MXL6411MKS"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-0V86140","MXL6411ML2"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-1ASR3JN","MXL6411MK3"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-1HD3M9Q","MXL6411ML5"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-1JV4TML","MXL6411MKX"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-2APGJH9","MXL6411MJZ"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-36U44R6","MXL6411MKJ"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-4BUBJN2","MXL6411ML3"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-5FK9O36","MXL6411MKN"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-5FMTNL6","MXL6411MJR"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-61294OI","MXL6411MKP"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 Mini","MININT-6FNMLHD","MXL6411MKB"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-80K729U","MXL6411MJN"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-8I61BSJ","MXL6411MJP"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-AQPA01T","MXL6411MK9"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-B2NR8BE","MXL6411MK2"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-CRG52TS","MXL6411MKR"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-ESBTKMI","MXL6411MKQ"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-H55O25R","MXL6411MKY"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-HCOUD2B","MXL6411ML1"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-II19AUT","MXL6411MJM"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-JNU3H7R","MXL6411MK7"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-K7HQEK8","MXL6411MJX"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-K9F7QCE","MXL6411MKL"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-KPFACPG","MXL6411MKK"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-M9TC70A","MXL6411MKG"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-N7QIJ08","MXL6411MJQ"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-NN604RV","MXL6411MKX"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-P6952ST","MXL6411ML0"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-PAM986K","MXL6411MJV"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-PC5GMH9","MXL6411MKH"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-PDPLQA4","MXL6411MKV"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-PTS16TG","MXL6411MK6"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-QQCMVBJ","MXL6411MK0"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-QRILM5V","MXL6411MKT"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-R515MCT","MXL6411MJS"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-ROOO189","MXL6411MK1"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-SCS6VUE","MXL6411ML6"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-T26C645","MXL6411ML4"
,"MHS-LAB-209","",,"HP","HP ProDesk 400 G2 MINI","MININT-TAJ1MSN","2UA61614DS"
